table,column,column_type,dtype,Unit,description
airquality.csv,CBSAFP,GEOID,string(5),,Federal Information Processing Standards (FIPS) code to identify Core-based Statistical Areas (CBSAs)
airquality.csv,COUNTYFP,GEOID,string(3),,Federal Information Processing Standards (FIPS) code to identify counties
airquality.csv,CTFP,GEOID,string(11),,Federal Information Processing Standards (FIPS) code to identify census tracts
airquality.csv,ZCTA5,GEOID,string(5),,5-digit ZIP code of the area
airquality.csv,year,timestamp,integer[2016-2022],,year of the record
airquality.csv,month,timestamp,integer[1-12],,month of the record
airquality.csv,total_aerosol_optical_depth_at_550nm_surface,variable,double,dimensionless,"Aerosol Optical Depth (AOD) is the measure of aerosols (e.g., urban haze, smoke, particles, desert dust, sea salt) distributed within a column of air from the instrument (Earth's surface) to the top of the atmosphere. This is related to the amount of light aerosols scatter or absorb in a column through the atmosphere (specifically, it is the vertically-integrated aerosol extinction). This variable measures the total AOD at 550 nm."
airquality.csv,particulate_matter_d_less_than_25_um_surface,variable,double,kg/m^3,Concentration of particles that are 2.5 microns or less in diameter (PM2.5).
airquality.csv,NO2_column_number_density,variable,double,mol/m^2,Total vertical column of NO2 (ratio of the slant column density of NO2 and the total air mass factor).
airquality.csv,ozone,variable,double,Dobson Units,"Total Column Ozone, a measurement of the total amount of atmospheric ozone in a given column."
greenery.csv,CBSAFP,GEOID,string(5),,Federal Information Processing Standards (FIPS) code to identify Core-based Statistical Areas (CBSAs)
greenery.csv,COUNTYFP,GEOID,string(3),,Federal Information Processing Standards (FIPS) code to identify counties
greenery.csv,CTFP,GEOID,string(11),,Federal Information Processing Standards (FIPS) code to identify census tracts
greenery.csv,ZCTA5,GEOID,string(5),,5-digit ZIP code of the area
greenery.csv,year,timestamp,integer[2016-2022],,year of the record
greenery.csv,month,timestamp,integer[1-12],,month of the record
greenery.csv,NDVI,variable,double[(-1)-1],dimensionless,The normalized difference vegetation index (NDVI) is a widely-used metric for quantifying the health and density of vegetation using sensor data. It is calculated from spectrometric data at red and near-infrared bands. NDVI will be a value between -1 and 1. An area with nothing growing in it will have an NDVI of zero. This variable measures the mean NDVI index in the region
greenery.csv,NDVI_binary,variable,double[0-1],dimensionless,This variable measures the proportion of the area in the region that has NDVI over 0.3
greenery.csv,leaf_area_index_high_vegetation,variable,double[0-1],dimensionless,"The surface area of one side of all the leaves found over an unit area of land for vegetation classified as 'high'. This parameter has a value of 0 over bare ground or where there are no leaves. 'High vegetation' consists of evergreen trees, deciduous trees, mixed forest/woodland, and interrupted forest."
